type,file_ref,file_hash,file_size,file_name
file_no_archive,c8403b52a7438aa9a7ad3603c5e0cf0f9fda793fa48a9fd71eb09040ada2aba2,bae1ab298add396872bb2e1d821a7c618fe1013ddb534ed962ae7a85168da389,26860,"woods.mp4"
file_no_archive,191de0735d3800dd662f74a6efe421ef87830e9f63131561430aa5126f8d24df,affc5f1b0adbfefa8f5488deeb3ec4ffc23c533d79a60a6e40e55fc5f19dbd07,575524,"tenet.mp4"
file_no_archive,3ebbd9affe1fcb23febceec6c8fee65512d885ecedb8cc6fe9b8a3bc334f9cf2,39bad1131ba55bb482882ecec66fec7f71512ab706bf4603b240842b0b37ec00,3962352,"WTC7 CON ED Part 2.avi"
directory,44ec24730b9030df69c02efaf3db9acb80d02f2406ca7c55a80f6621cd9b5088,,,"124_High_Quality_WTC_Site_Photos_Released_Mar_25_2007"
directory,8451f347351e7c874cd75f1fd347b374625202ae0ecb23a4b5154f21632ab6e2,,,"NYC_OEM_MAPS_FOIL_Nov_17_2010"
directory,ec2494de0b53f42e6b06ef8881a926d6de5d9d0a5f7f4f997be4ce255666527f,,,"NTSB_FOIA_Appeal_2012-00001-A_Nov_10_2011"
file_no_archive,3e4422be8a14a0b07f64f1b25166690f2d46d21cd432a97c36eb5bbc69512485,,,"3e4422be8a14a0b07f64f1b25166690f2d46d21cd432a97c36eb5bbc69512485.fb2.zip"
file_no_archive,82536f6c0b5ec6e4d153f4c3a8375b0023b51ddbe1ff31460317351428072a41,,,"82536f6c0b5ec6e4d153f4c3a8375b0023b51ddbe1ff31460317351428072a41.fb2.zip"
file_no_archive,e25f2b22037cbf4135afb989427dd27d3f53e6e920ffe3ee247c8a431d63e150,,,"e25f2b22037cbf4135afb989427dd27d3f53e6e920ffe3ee247c8a431d63e150.fb2.zip"
file_no_archive,9ba67bad15b2c5ac5a6d0cc9c0dc4536ba04aa22852b92f0b94ba5f6fe0d6010,,,"9ba67bad15b2c5ac5a6d0cc9c0dc4536ba04aa22852b92f0b94ba5f6fe0d6010.fb2.zip"
