file_path,file_hash,file_size
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/Brooklyn_Manhattan_Map_A.jpg,9f01d8faf8102677185123d46943f7ce8d6bd0ec232ce001a1b01b23c3593520,699595
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/Brooklyn_Manhattan_Map_Imagery_A.jpg,042948784d76bedd3135ff18b1fb885d729af1fb2a9944db141a875d213d5be6,1057909
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/Chamber_south_simples2.jpg,e205ac59fe0e1c25a5b5481bc00a7fb88043d92c2176916ca053399035e59024,915163
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/Crossbay_Map_A.jpg,8669c53ec370032f077c66d05e5a274087532a96eaf36aeb919464cf678cbd50,471673
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/Crossbay_Map_Imagery_A.jpg,56a7973f93e6621b69d30e1532d7ed499a9b68583abb622ac40423b4978ae68f,718423
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/Debis Field.jpg,25ee1f7520b2426c00cf9d3e0e35c89e50a5d40efd89529df5593a076a83ed5d,1796920
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/FDNY_WTC_commandposts9_20_2001_8x11.jpg,df00307d29c8a693277890d7f19e39553e26556ba34dab162e8313cc7ab52ae9,450204
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/George_Washington_Map_A.jpg,66ee6abd2c5e5b0590f11477c63330df1212c6ebc0e4de5a46a1226dd5630d83,399856
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/George_Washington_Map_Imagery_A.jpg,8906d1883dd6ee873c9f1c259b5e755d308168c6c2f12612dc5c3c10304ba007,895104
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/Goethals_Map_A.jpg,edcc5ebf76605183a3a26cb63f0019f53db33d2a399be05d9c8bc199fd44442d,383372
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/Goethals_Map_Imagery_A.jpg,852d550fc9d59d0bc2426a958dfbd4d3df27f499d3fe705ee5409c54a9f414a8,852367
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/Ground Zero.jpg,6af35b054b84b11fe41a3fa5385b67c0993015c194061e0b80608150d9cd6c04,2384999
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/Henry_Hudson_Map_A.jpg,a64d3727b62a3a9e2b524ce88db4a2cbaa3f6c7791c76a1dcba6a0638512e24a,323393
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/Henry_Hudson_Map_Imagery_A.jpg,78fa7f20a1e8611d23d993dd022def2fa63d4af4962f4d4c440860a24ea67675,908051
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/Holland_Map_A.jpg,3ef0d16e12d7d90f90103aad3252172e9663017a13e262b0913fd9441da79a7b,336763
